gyarto	kijelzo	memoria	merevlemez
HP	15,6	1024	160
ASUS	15,6	2048	250
HP	15,6	2048	320
HP	15,6	3072	250
ACER	15,6	2048	250
ACER	15,6	3072	320
MSI	14	2048	320
ASUS	14	4096	500
MSI	16	2048	320
ASUS	16	4096	500
ASUS	15,6	4096	500
FUJITSU	13,3	2048	250
MSI	12	2048	320
ACER	15,6	1024	160
DELL	15,6	1024	160
TOSHIBA	15,6	2048	320
MSI	15,6	2048	320
MSI	15,6	4096	320
LENOVO	15,4	1024	160
TOSHIBA	15,4	2048	160
MSI	15,4	4096	320
HP	15,6	2048	250
FUJITSU	15,4	1024	160
LENOVO	15,6	1024	160
HP	15,6	3072	320
ACER	15,6	2048	250
HP	15,6	2048	250
HP	13,3	1024	160
ASUS	15,6	2048	250
ASUS	15,6	4096	320
MSI	17,3	3072	320
DELL	15,6	1024	250
HP	10,1	1024	80
Asus	10	1024	160
Asus	10	1024	160
DELL	10,1	1024	160
DELL	10,1	1024	160
DELL	10,1	1024	160
DELL	10,1	1024	160
DELL	10,1	1024	160
DELL	10,1	1024	160
DELL	10,1	1024	160
DELL	10,1	1024	160
ACER	8,9	1024	120
ACER	10,1	1024	160
ACER	10,1	1024	160
MSI	10	1024	160
HP	10,1	1024	160
Asus	10	1024	160
HP	10,1	1024	80
Asus	10	1024	160
LENOVO	10,1	1024	160
LENOVO	10,1	1024	160
Asus	10	1024	160
Asus	10,1	1024	120
ACER	10,1	1024	160
ACER	10,1	1024	160
MSI	10	1024	160
MSI	10	1024	160
LENOVO	10,1	1024	160
LENOVO	10,1	1024	160
LENOVO	10,1	1024	160
MSI	10	1024	160
MSI	10	1024	160
LENOVO	10,1	1024	160
Asus	10	1024	160
Asus	10	1024	160
Asus	10	1024	160
Asus	10	1024	160
Asus	10	1024	160
Asus	10	1024	160
Asus	10	1024	160
Asus	10	1024	160
TOSHIBA	10,1	1024	160
Asus	11,6	1024	160
Asus	11,6	2048	250
ACER	11,6	1024	160
ACER	11,6	1024	160
ACER	11,6	1024	160
ACER	11,6	1024	160
ACER	11,6	1024	160
Asus	11,6	1024	160
Asus	11,6	1024	160
Asus	11,6	2048	250
DELL	10,1	1024	160
ASUS	15,4	2048	250
FUJITSU	15,4	2048	250
ACER	15,4	2048	160
DELL	13,3	4096	320
MSI	17	4096	500
TOSHIBA	15,4	3072	320
LENOVO	15,4	2048	160
LENOVO	14,1	2048	160
FUJITSU	15,4	4096	160
FUJITSU	14,1	4096	320
FUJITSU	13,3	4096	160
LENOVO	15,4	2048	320
LENOVO	15,4	2048	160
DELL	16	4096	500
DELL	15,6	2048	320
DELL	15,6	2048	320
DELL	15,6	2048	500
DELL	15,6	2048	500
DELL	15,6	2048	500
TOSHIBA	17,1	4096	500
DELL	15,6	4096	500
DELL	15,6	4096	500
LENOVO	15,4	2048	160
FUJITSU	14,1	4096	320
TOSHIBA	14,1	3072	250
DELL	13,3	4096	500
DELL	13,3	4096	500
ASUS	14,1	4096	320
ASUS	15,6	4096	500
TOSHIBA	17	4096	320
ASUS	17,3	4096	640
ASUS	16	4096	500
MSI	15,4	4096	500
HP	12,1	2048	120
ThinkPad	12,1	2048	250
ACER	13,3	4096	500
ACER	14	3072	250
ACER	14	3072	250
ASUS	12,1	3072	320
ASUS	13,3	3072	320
ASUS	15,6	4096	500
ASUS	13,3	3072	320
ASUS	13,3	4096	500
ASUS	14	3072	320
ASUS	15,6	4096	500
ASUS	15,6	4096	500
TOSHIBA	12,1	2048	250
ACER	13,3	4096	500
ACER	13,3	4096	320
ACER	14	3072	320
ThinkPad	13,3	2048	120
FUJITSU	15,4	2048	250
FUJITSU	15,4	2048	160
HP	15,6	3072	320
HP	15,6	3072	320
HP	17,3	3072	320
HP	15,6	1024	160
HP	15,6	2048	320
HP	15,6	2048	320
DELL	15,6	2048	250
FUJITSU	15,4	2048	250
MSI	15,4	4096	500
FUJITSU	15,4	2048	250
